3.07	1.5E-05
3.11	1E-05
3.39	5E-06
3.42	1.5E-05
3.45	0.01073
3.46	0.019045
3.49	0.16136
3.5	0.019
3.52	0.29972
3.53	0.47183
3.56	0.0045
3.57	0.00042
3.59	0.0006
3.6	0.000945
3.63	0.001095
3.64	7E-05
3.66	0.00045
3.67	0.000475
3.7	0.00072
3.71	2E-05
3.73	0.000305
3.74	0.000355
3.77	0.00062
3.78	5E-06
3.8	0.000265
3.81	0.00027
3.83	5E-06
3.84	0.000565
3.87	0.000275
3.88	0.00029
3.9	5E-06
3.91	0.000465
3.94	0.000215
3.95	0.00021
3.97	2E-05
3.98	0.00031
4.01	0.00016
4.02	0.00014
4.04	5E-06
4.05	0.00028
4.08	0.00013
4.09	0.00015
4.12	0.0001
4.15	2.5E-05
4.16	5.5E-05
4.19	7.5E-05
4.22	3.5E-05
4.23	4E-05
4.26	4E-05
4.29	3E-05
4.32	5E-06
4.33	5.5E-05
4.36	4.5E-05
4.37	2E-05
4.39	1.5E-05
4.4	4E-05
4.43	2E-05
4.44	1E-05
4.47	4E-05
4.5	4.5E-05
4.51	5E-06
4.53	1.5E-05
4.54	3E-05
4.57	5E-05
4.58	1.5E-05
4.6	1E-05
4.61	5E-05
4.64	3E-05
4.65	2E-05
4.68	5E-05
4.71	4E-05
4.72	1.5E-05
4.74	1E-05
4.75	4E-05
4.78	5E-05
4.81	2.5E-05
4.82	6.5E-05
4.85	3E-05
4.88	1E-05
4.89	3.5E-05
4.92	3.5E-05
4.93	3E-05
4.95	2E-05
4.96	2E-05
4.99	3E-05
5	5E-06
5.02	1.5E-05
5.03	3.5E-05
5.06	3E-05
5.07	1.5E-05
5.09	2E-05
5.1	2E-05
5.13	3.5E-05
5.14	5E-06
5.16	2.5E-05
5.17	2E-05
5.2	3E-05
5.23	2E-05
5.24	4E-05
5.27	2.5E-05
5.3	1E-05
5.31	4E-05
5.34	4.5E-05
5.37	5E-06
5.38	2.5E-05
5.41	3E-05
5.42	5E-06
5.44	5E-06
5.45	2E-05
5.48	2E-05
5.51	2E-05
5.52	3E-05
5.55	4E-05
5.58	5E-06
5.59	1.5E-05
5.62	2E-05
5.63	5E-06
5.65	2E-05
5.66	5E-06
5.69	5E-05
5.72	5E-06
5.73	2E-05
5.76	5E-05
5.8	1.5E-05
5.83	1.5E-05
5.86	1E-05
5.87	1E-05
5.89	5E-06
5.9	2E-05
5.93	1.5E-05
5.94	5E-06
5.97	1E-05
6	2E-05
6.01	5E-06
6.04	1.5E-05
6.07	1E-05
6.08	2E-05
6.11	1.5E-05
6.14	2E-05
6.15	2E-05
6.18	2E-05
6.21	2E-05
6.22	1E-05
6.25	3E-05
6.28	1E-05
6.29	1.5E-05
6.31	5E-06
6.32	1.5E-05
6.35	5E-06
6.39	1.5E-05
6.42	2E-05
6.43	5E-06
6.45	5E-06
6.46	4.5E-05
6.49	2.5E-05
6.5	5E-06
6.53	1E-05
6.56	1.5E-05
6.57	5E-06
6.6	5E-06
6.63	1E-05
6.66	5E-06
6.67	1E-05
6.7	1E-05
6.74	1.5E-05
6.77	1E-05
6.78	5E-06
6.8	5E-06
6.81	5E-06
6.85	1E-05
6.88	5E-06
6.91	5E-06
6.92	5E-06
6.95	5E-06
6.98	5E-06
6.99	5E-06
7.01	5E-06
7.02	5E-06
7.06	5E-06
7.09	1E-05
7.12	5E-06
7.16	5E-06
7.19	2E-05
7.22	5E-06
7.23	5E-06
7.26	2E-05
7.27	5E-06
7.29	5E-06
7.3	1.5E-05
7.33	2E-05
7.36	5E-06
7.37	5E-06
7.4	1E-05
7.44	5E-06
7.47	5E-06
7.5	1.5E-05
7.51	1E-05
7.54	2E-05
7.57	1E-05
7.75	1.5E-05
7.78	5E-06
7.81	5E-06
7.82	1E-05
7.92	1E-05
7.93	5E-06
7.99	5E-06
8	1E-05
8.02	5E-06
8.1	5E-06
8.13	5E-06
8.14	1.5E-05
8.17	5E-06
8.24	1.5E-05
8.27	1E-05
8.31	5E-06
8.37	1E-05
8.38	5E-06
8.45	5E-06
8.48	5E-06
8.52	2E-05
8.55	5E-06
8.59	5E-06
8.62	1.5E-05
8.63	5E-06
8.65	5E-06
8.69	1.5E-05
8.76	5E-06
8.77	5E-06
8.8	5E-06
8.83	5E-06
8.84	1E-05
8.93	5E-06
9	5E-06
9.14	5E-06
9.18	1.5E-05
9.25	5E-06
9.26	5E-06
9.29	5E-06
9.32	1E-05
9.39	5E-06
9.42	5E-06
9.46	5E-06
9.6	5E-06
9.63	5E-06
9.64	5E-06
9.67	5E-06
9.71	5E-06
9.74	1E-05
9.81	5E-06
9.88	5E-06
9.91	5E-06
9.95	1E-05
10.02	5E-06
10.09	1E-05
10.12	5E-06
10.13	1E-05
10.16	5E-06
10.19	5E-06
10.2	5E-06
10.33	5E-06
10.4	5E-06
10.48	1E-05
10.61	5E-06
10.64	5E-06
10.72	5E-06
10.86	5E-06
11	5E-06
11.27	5E-06
11.31	5E-06
11.35	5E-06
11.38	1E-05
11.41	5E-06
11.45	5E-06
11.59	5E-06
11.62	1E-05
11.65	5E-06
11.69	5E-06
11.73	5E-06
12.01	5E-06
12.11	5E-06
12.19	5E-06
12.35	5E-06
12.67	5E-06
12.78	5E-06
12.81	1E-05
12.99	5E-06
13.55	5E-06
13.61	1E-05
13.69	5E-06
13.75	5E-06
13.76	1E-05
15.29	5E-06
15.33	5E-06
15.57	5E-06
15.74	5E-06
15.95	5E-06
16.13	5E-06
16.55	5E-06
16.72	5E-06
17.14	5E-06
17.87	5E-06
18.23	5E-06
18.89	5E-06
19.1	5E-06
20.1	5E-06
21.65	5E-06
23.74	5E-06
25.84	5E-06
26.46	5E-06
26.91	5E-06
27.69	5E-06
27.99	5E-06
28.28	5E-06
28.41	5E-06
35.96	5E-06
36.2	5E-06
36.79	5E-06
38.89	5E-06
40.56	5E-06
40.78	5E-06
40.95	5E-06
41.16	5E-06
43.81	5E-06
45.17	5E-06
45.24	5E-06
54.56	5E-06
55.61	5E-06
55.85	5E-06
56.73	5E-06
57.49	5E-06
58.12	5E-06
83.19	5E-06
95.51	5E-06
